locus_tag	primary_name	matched_features
b2161	nupX	putative nucleoside transporter; NupX (YeiJ) was reported to be a nucleoside transporter, and to be co-expressed with rihB (as indicated by polarity of an IS50 insertion upstream of rihB on nupX (yeiJ) expression, B. Mygind and C. Petersen, preliminary results cited in Petersen (2001). nupC, nupX, and yegT are paralogs. CNT family.; Nucleoside permease; in operon with rihB; silent (uninduced) gene; nucleoside permease; Putative nucleoside permease NupX; nucleoside permease
b2164	psuT	putative pseudouridine transporter; transporter; Predicted pseudouridine transporter; putative nucleoside transporter; Putative pseudouridine transporter; putative nucleoside transporter
b2177	yejA	putative oligopeptide ABC transporter  (extended summary available):[YejF][YejB][YejE][YejA]; putative oligopeptide ABC transporter periplasmic binding protein; Microcin C ABC transporter periplasmic binding protein; regulated by rydC sRNA; microcin C ABC transporter periplasmic binding protein; microcin C ABC transporter periplasmic binding protein
b2178	yejB	putative oligopeptide ABC transporter  (extended summary available):[YejF][YejB][YejE][YejA]; putative oligopeptide ABC transporter membrane subunit YejB; Microcin C ABC transporter permease; regulated by rydC sRNA; microcin C ABC transporter permease; Inner membrane ABC transporter permease protein YejB; microcin C ABC transporter permease
b2179	yejE	putative oligopeptide ABC transporter  (extended summary available):[YejF][YejB][YejE][YejA]; putative oligopeptide ABC transporter membrane subunit YejE; Microcin C ABC transporter permease; regulated by rydC sRNA; microcin C ABC transporter permease; Inner membrane ABC transporter permease protein YejE; microcin C ABC transporter permease
b2180	yejF	putative oligopeptide ABC transporter  (extended summary available):[YejF][YejB][YejE][YejA]; putative oligopeptide ABC transporter ATP binding subunit; Microcin C ABC transporter ATPase; regulated by rydC sRNA; microcin C ABC transporter ATPase; Uncharacterized ABC transporter ATP-binding protein YejF; microcin C ABC transporter ATPase
b2188	yejM	putative cardiolipin transport protein
b2223	atoE	short chain fatty acid transporter; transporter; IT (Ion Transporter) superfamily (Prakash, 2003). ST(3) structural class based on hydropathy profile (Lolkema, 2003).; Short-chain fatty acids transporter; short chain fatty acid transporter; Putative short-chain fatty acid transporter; short chain fatty acid transporter
b2233	yfaL	putative autotransporter adhesin YfaL; Probable OM autotransporter adhesin; overexpression increases adhesion and biofilm formation; FUNCTION: Probably an autotransporter. {ECO:0000305|PubMed:16522795, ECO:0000305|PubMed:22344647}.; Probable autotransporter YfaL [Cleaved into: Probable secreted autotransporter protein YfaL; Probable autotransporter YfaL translocator]
b2246	rhmT	Putative L-rhamnonate transporter; putative L-rhamnonate transporter; Inner membrane transport protein RhmT; putative L-rhamnonate transporter; putative transporter YfaV
b2292	yfbS	putative transporter YfbS; IT (Ion Transporter) superfamily (Prakash, 2003). ST(3) structural class based on hydropathy profile (Lolkema, 2003).; Putative transporter, function unknown; putative transporter; Uncharacterized transporter YfbS; putative transporter
b2298	yfcC	putative transporter YfcC; IT (Ion Transporter) superfamily (Prakash, 2003). ST(3) structural class based on hydropathy profile (Lolkema, 2003). The yfcC promoter region binds FNR and yfcC is activated by FNR (Federowicz, 2014).; Putative inner membrane transporter, C4-dicarboxylate anaerobic carrier family, function unknown; putative inner membrane transporter; C4-dicarboxylate anaerobic carrier family protein; Putative basic amino acid antiporter YfcC; putative inner membrane transporter; C4-dicarboxylate anaerobic carrier family protein
b2322	yfcJ	putative transporter YfcJ; YfcJ may be an arabinose efflux transporter because a yfcJ mutant has increased intracellular arabinose, but not xylose; other compounds were not tested (Koita, 2012). Major Facilitator Superfamily (MFS).; Putative arabinose efflux transporter; putative arabinose efflux transporter; Uncharacterized MFS-type transporter YfcJ; putative arabinose efflux transporter
b2327	yfcA	Although a wildtype strain was unaffected, a yfcA deletion mutant exhibited 40% survival after 100 minutes at 56C (Kri Ko, 2014). YfcA is a member of the sulfite exporter TauE/SafE family (PF01925) formerly known the UPF0721 family. YfcA is a member of the 4-Toluene Sulfonate Uptake Permease (TSUP) family, which is thought to contain diverse transporters and other membrane proteins; it is suggested that YfcA may be a glycerate uptake porter (Shlykov, 2012). E. coli can utilize glycerate but a transporter gene has not been identified (Umbarger, 1963). ; Probable membrane transporter protein YfcA
b2367	emrY	tripartite efflux pump EmrKY-TolC  (summary available):[(TolC)3][EmrK][EmrY]; tripartite efflux pump membrane subunit EmrY; EmrKY-TolC multidrug resistance efflux pump; overexpression resistance to deoxycholate
b2368	emrK	tripartite efflux pump EmrKY-TolC  (summary available):[(TolC)3][EmrK][EmrY]; tripartite efflux pump membrane fusion protein EmrK; EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein; overexpression resistance to deoxycholate; signal anchored membrane protein; multidrug resistance efflux pump membrane fusion protein; multidrug resistance efflux pump membrane fusion protein
b2372	yfdV	putative transport protein YfdV; Putative permease; putative transporter; Uncharacterized transporter YfdV; putative transporter
b2383	fryA	putative PTS enzyme II FryBCA  (summary available):[FryC][FryB][FryA]; putative PTS enzyme: Hpr, enzyme I and IIA components; putative PTS enzyme: Hpr, enzyme I and IIA components
b2386	fryC	putative PTS enzyme II FryBCA  (summary available):[FryC][FryB][FryA]; putative PTS enzyme IIC component FryC; Fructose-like permease IIC component 1 (PTS system fructose-like EIIC component 1)
b2387	fryB	putative PTS enzyme II FryBCA  (summary available):[FryC][FryB][FryA]; putative PTS enzyme IIB component FryB
b2389	yfeO	putative transport protein YfeO; Predicted proton-ion exchange transporter; Putative ion-transport protein YfeO
b2410	yfeH	Predicted inorganic ion transporter; required for swarming phenotype; regulated by YfeR; putative inorganic ion transporter; putative inorganic ion transporter
b2452	eutH	ethanolamine transporter; Ethanolamine utilization protein EutH (Putative ethanolamine transporter); ethanolamine transporter
b2492	focB	putative formate transporter; Probable bidirectional formate transporter 2; putative formate transporter; Probable formate transporter 2 (Formate channel 2); putative formate transporter
b2493	perM	Putative permease PerM; putative transporter YfgO; Function unknown, predicted permease, UPF0118 family; putative UPF0118 family inner membrane permease; putative UPF0118 family inner membrane permease
b2536	hcaT	putative 3-phenylpropionate transporter; transporter; Probable 3-phenylpropionic acid/cinnamic acid transporter; hca genes catabolize 3-phenylpropionate and cinnamic acid, feeding the products into the the mhp pathway; putative 3-phenylpropionic transporter; FUNCTION: Probable permease involved in the uptake of 3-phenylpropionic acid.; Probable 3-phenylpropionic acid transporter; putative 3-phenylpropionic transporter
b2546	yphD	putative ABC transporter membrane subunit YphD; Putative sugar ABC transporter permease; putative sugar ABC transporter permease; Probable ABC transporter permease protein YphD; putative sugar ABC transporter permease
b2547	yphE	putative ABC transporter ATP-binding protein YphE; Putative sugar ABC transporter ATPase; putative sugar ABC transporter ATPase; Uncharacterized ABC transporter ATP-binding protein YphE; putative sugar ABC transporter ATPase
b2548	yphF	putative ABC transporter periplasmic binding protein YphF; Putative sugar ABC transporter periplasmic binding protein; putative sugar ABC transporter periplasmic binding protein; ABC transporter periplasmic-binding protein YphF; putative sugar ABC transporter periplasmic binding protein
b2611	ypjD	The Salmonella YpjD ortholog was named as corE in Genbank AF130857. YpjD is homologous to cytochrome c-type biogenesis gene ccsA, magnesium-chelatase subunit gene chlI, and heme-exporter gene hemX (Pfam PF01578).
b2647	ypjA	adhesin-like autotransporter YpjA; OM autotransporter homolog; overexpression increases adhesion; adhesin-like autotransporter; adhesin-like autotransporter
b2713	hydN	putative electron transport protein HydN; Electron transport protein HydN
b2740	ygbN	putative transporter YgbN; IT (Ion Transporter) superfamily (Prakash, 2003). ST(3) structural class based on hydropathy profile (Lolkema, 2003).; Putative GntP family transporter, function unknown; putative transporter; Inner membrane permease YgbN; putative transporter
b2771	ygcS	putative transporter YgcS; YgcS is a member of the Sugar Porter (SP) family within the Major Facilitator Superfamily (MFS) of transporters.; Putative MFS transporter, function unknown; membrane protein; putative MFS sugar transporter; membrane protein; Inner membrane metabolite transport protein YgcS; putative MFS sugar transporter; membrane protein
b2775	yqcE	putative transport protein YqcE; YqcE is a member of the Major Facilitator Superfamily (MFS) of transporters. yqcE-ygcE may be a sugar catabolism operon.; Putative MFS transporter, function unknown; inner membrane protein; putative MFS transporter, inner membrane protein; putative MFS transporter, inner membrane protein
b2789	gudP	galactarate/glucarate/glycerate transporter GudP; transporter; Probable D-glucarate transporter, membrane protein; putative D-glucarate transporter; Probable glucarate transporter (D-glucarate permease); putative D-glucarate transporter
b2790	yqcA	FUNCTION: Probable electron transporter.
b2845	yqeG	putative transporter YqeG; Putative amino acid:H+ symport permease, function unknown; putative transporter; Inner membrane transport protein YqeG; putative transporter
b2886	ygfS	Predicted electron transport protein, function unknown; Putative electron transport protein YgfS
b2934	cmtB	mannitol-specific PTS enzyme II CmtBA  (extended summary available):[CmtB][CmtA]; mannitol-specific PTS enzyme IIA component CmtB
b2983	yghQ	putative transport protein YghQ
b3078	ygjI	putative transporter YgjI; APC superfamily. A protein of observed MW 79K was expressed from the DNA downstream of ebgC and postulated as EbgB, a protein of unknown function in the ebg operon, based on polar effects (loss of band) of ebgA mutations. YgjI(EbgB) could be the transporter for the unknown native substrate of wildtype EgbAB. Since the predicted MW of YgjI is 52K, it is possible that the membrane protein migrates anomalously.; Putative transporter, function unknown; localized to inner membrane; putative transporter; Inner membrane transporter YgjI; putative transporter
b3110	cyuP	putative D/L-serine transporter; Probable serine transporter; Putative amino acid:H+ symport permease, function unknown; putative transporter; putative transporter
b3151	yraQ	permease family protein YraQ; putative inner membrane permease; putative inner membrane permease
b3184	yhbE	YhbE belongs to the EamA transporter family (PF00892, formerly DUF6), DMT superfamily, and is comprised of two tandem EamA domains.; EamA family predicted transporter, inner membrane protein; function unknown; EamA family inner membrane putative transporter; Uncharacterized inner membrane transporter YhbE; EamA family inner membrane putative transporter
b3196	yrbG	putative transport protein YrbG; putative calcium/sodium:proton antiporter; putative calcium/sodium:proton antiporter
b3227	dcuD	putative transporter DcuD; IT (Ion Transporter) superfamily (Prakash, 2003). ST(3) structural class based on hydropathy profile (Lolkema, 2003).; Predicted transporter, DcuC paralog, function unknown; mutant has no phenotype and dcuD does not complement dcuC mutations; putative transporter; Putative cryptic C4-dicarboxylate transporter DcuD; putative transporter
b3242	aaeX	YtcA, AaeX and YdhI are DUF1656 family (Pfam PF07869) predicted inner membrane proteins; all these E. coli DUF1656 family proteins are encoded in the first genes of known or predicted efflux pump operons, preceding the membrane fusion protein genes.; Predicted inner membrane DUF1656 family protein; efflux pump associated; function unknown; DUF1656 family putative inner membrane efflux pump associated protein; DUF1656 family putative inner membrane efflux pump associated protein
b3269	yhdX	putative ABC transporter membrane subunit YhdX; Putative ABC transporter YhdWXYZ has an unknown substrate and yhdW' is an apparent pseudogene.; Putative amino acid ABC transporter permease protein; putative amino acid ABC transporter permease; Putative amino-acid ABC transporter permease protein YhdX; putative amino acid ABC transporter permease
b3270	yhdY	putative ABC transporter membrane subunit YhdY; Putative ABC transporter YhdWXYZ has an unknown substrate and yhdW' is an apparent pseudogene.; Putative amino acid ABC transporter permease protein; putative amino acid ABC transporter permease; Inner membrane amino-acid ABC transporter permease protein YhdY; putative amino acid ABC transporter permease
b3271	yhdZ	putative ABC transporter ATP-binding subunit YhdZ; Putative ABC transporter YhdWXYZ has an unknown substrate and yhdW' is an apparent pseudogene.; Putative amino acid ABC transporter ATPase; putative amino acid ABC transporter ATPase; Uncharacterized amino-acid ABC transporter ATP-binding protein YhdZ; putative amino acid ABC transporter ATPase
b3327	gspF	Putative type II secretion system protein F (T2SS protein F) (General secretion pathway protein F) (Protein transport protein HofF)
b3328	gspG	Putative type II secretion system protein G (T2SS protein G) (Protein transport protein HofG) (Putative general secretion pathway protein G)
b3329	gspH	Putative type II secretion system protein H (T2SS protein H) (Protein transport protein HofH) (Putative general secretion pathway protein H)
b3334	gspM	Putative type II secretion system protein M (T2SS protein M) (Putative general secretion pathway protein M) (Transport protein PshM)
b3352	yheS	ABC transporter ATP-binding protein YheS; Uncharacterized ABC transporter ATP-binding protein YheS
b3358	yhfK	putative transporter YhfK; Putative transporter, FUSC superfamily inner membrane protein, tandem domains; putative transporter, FUSC superfamily inner membrane protein; putative transporter, FUSC superfamily inner membrane protein
b3364	tsgA	putative transporter TsgA; Putative transporter, tellurite-inducible, function unknown; also induced by selenite; putative transporter; putative transporter
b3370	frlA	fructoselysine/psicoselysine transporter; transporter; Predicted fructoselysine transporter; putative fructoselysine transporter; Probable fructoselysine/psicoselysine transporter FrlA; putative fructoselysine transporter
b3391	hofQ	DNA catabolic putative fimbrial transporter; DNA catabolic putative fimbrial transporter
b3402	yhgE	putative transport protein YhgE
b3410	feoC	ferrous iron transport protein FeoC; Probable [Fe-S]-dependent transcriptional repressor FeoC (Fe(2+) iron transport protein C)
b3473	yhhS	putative transporter YhhS; YhhS may be an arabinose efflux transporter because a yhhS mutant has increased intracellular arabinose, but not xylose; other compounds were not tested (Koita, 2012). Major Facilitator Superfamily (MFS).; Putative arabinose efflux transporter; putative arabinose efflux transporter; Uncharacterized MFS-type transporter YhhS; putative arabinose efflux transporter
b3474	yhhT	putative transporter YhhT; UPF0118 family membrane predicted permease; UPF0118 family putative transporter; Putative transport protein YhhT; UPF0118 family putative transporter
b3485	yhhJ	ABC transporter family protein YhhJ; The yhiI-rbbA-yhhJ operon encodes RbbA, an ABC transporter ATPase/permease fusion protein homolog that does not appear to be a transporter but rather is a ribosome-associated ATPase, and the YhiI membrane fusion efflux protein (MFP) homolog. The associations or roles, if any, that YhiI and YhhJ might have in RbbA function is unknown, but it is possible that YhiI-RbbA-YhhJ is or was an exporter. YadH, YbhR, YbhS, YhhJ, and the RbbA C-terminal domain are paralogous ABC2-membrane permease family members (pfam01061/COG0842). The yhiI-rbbA-yhhJ operon promoter region binds ArcA and ArcA activates yhiI-rbbA-yhhJ operon expression (Federowicz, 2014).; Putative ABC transporter permease; putative ABC transporter permease; Inner membrane transport permease YhhJ; putative ABC transporter permease
b3487	yhiI	"The yhiI-rbbA-yhhJ operon also encodes RbbA, an ABC transporter ATPase/permease fusion protein homolog that does not appear to be a transporter but rather is a ribosome-associated ATPase, and the YhhJ ABC transporter permease that is paralogous to the RbbA C-terminal permease domain. The associations or roles, if any, that YhiI and YhhJ might have in RbbA function is unknown, but it is possible that YhiI-RbbA-YhhJ is or was an exporter. The YhiI MFP was mistakenly predicted to be a periplasmic binding protein (noted as subfamily ""v""), leading to the mis-classification of RbbA(YhiGH)-YhhJ-YhiI as a putative importer (Linton, 1998). Overexpression causes abnormal biofilm architecture. YhiI has a predicted 23 aa signal anchor. The yhiI-rbbA-yhhJ operon promoter region binds ArcA and ArcA activates yhiI-rbbA-yhhJ operon expression (Federowicz, 2014).; Predicted membrane fusion protein (MFP) of efflux pump; function unknown; signal anchor; putative membrane fusion protein (MFP) of efflux pump; putative membrane fusion protein (MFP) of efflux pump"
b3507	dctR	A dctR mutation reverses the succinate growth defect of an atp operon deletion resulting in a Suc+ growth phenotype; DctA overproduction also confers Suc+ to the atp deletion strain; cloned dctR complements the dctR mutant Suc+ phenotype restoring the Suc- phenotype conferred by the atp deletion; it was proposed that DctR(YhiF) is a repressor for the dctA gene and that yhiF be renamed as DctR (Boogerd, 1998). E. coli K-12 has other known and putative dicarboxylate transporters such as DcuAB, CitT and YbhI that were not tested for suppression of the Suc- phenotype, and DctR was not shown to be a dctA repressor, so DctR could be repressing a dicarboxylate transporter gene other than dctA. dctR and slp are in the AFI 12 gene acid fitness island and their roles in acids resistance are to counter the effects of organic acids in spent medium; a slp-dctR(yhiF) double mutant, but not either single mutant, loses protection against metabolites that are toxic at pH 2.5 including formate, succinate, and lactate, but not acetate; the double mutant phenotype can be complemented by a yhiF clone but complementation by a slp clone was not tested; this implies that Slp and DctR provide redundant protection; the protective role for DctR during the acid resistance response may be repression of one or more C4-dicarboxylate importers; a dctA mutant did not alter the slp-dctR phenotype, indicating that other C4-dicarboxylate importers in addition to or instead of DctA may be repressed by DctR (Mates, 2007). Overexpression of DctR causes filamentous biofilm formation (Tenorio, 2003). DctR is possibly involved in the regulation of type III secretion systems in enterohemorrhagic E. coli O157:H7 (Tatsuno, 2003). dctR is part of the EvgAS regulon (Masuda, 2002). Greater than 92% of the upstream slp mRNA is monocistronic and it is not known if all dctR expression is based on readthrough of the slp terminator or if dctR also has its own promoter (Alexander, 1994; Tucker, 2003).
b3508	yhiD	Putative magnesium transporter YhiD
b3511	hdeD	Putative membrane transporter, H-NS repressed
b3522	yhjD	putative transporter YhjD; Probable BrkB family lipid IVA exporter; suppressor of msbA and KDO essentiality; LPS transport inner membrane protein; inner membrane putative BrbK family alternate lipid exporter; inner membrane putative BrbK family alternate lipid exporter
b3523	yhjE	putative transporter YhjE; YhjE is a member of the Major Facilitator Superfamily (MFS) of transporters. The yhjE promoter region binds ArcA and ArcA represses yhjE expression (Federowicz, 2014).; Putative MFS transporter, function unknown; membrane protein; putative MFS transporter; membrane protein; Inner membrane metabolite transport protein YhjE; putative MFS transporter; membrane protein
b3539	yhjV	putative transporter YhjV; Putative amino acid:H+ symport permease, function unknown; putative transporter; Inner membrane transport protein YhjV; putative transporter
b3547	yhjX	putative pyruvate transporter; The YpdAB-regulated transporter gene yhjX is induced by high (>600 micromolar) concentrations of pyruvate while the BtsSR-regulated high-affinity pyruvate symporter gene btsT is induced by low (<5 micromolar) concentrations of pyruvate (Behr, 2017b). YhjX is the only protein directly regulated by the pyruvate-sensing YpdAB two-component system: response regulator YpdB binds to the yhjX promoter region, YpdB overproduction increased yhjX expression 24-fold, and deletion of ypdABC prevented induction by the pyruvate in LB; the induction was restored by a ypdAB clone; YpdB overproduction indrectly increased btsT(yjiY) expression 4-fold since btsT(yjiY) has no YpdB binding site (Fried, 2013). yhjX expression increased 50-fold in a btsSR(yehUT) mutant, but yhjX is indirectly repressed since BtsR(YehT) does not bind the yhjX promoter region (Kraxenberger, 2012). YhjX has been experimentally shown to be an integral membrane protein (Daley, 2005; Fried, 2013). The YpdAB and BtsSR(YehUT) two-component regulators are paralogous; these two systems may be interconnected since they both regulate btsT(yjiY), directly by BtsSR(YehUT) and indirectly by YpdAB; although not noted by the authors, both sytems also regulate yhjX, indirectly by BtsSR(YehUT) and directly by YpdAB; the transporter genes yhjX and btsT(yjiY) are the only two genes significantly regulated by YpdAB and BtsSR(YehUT) (Fried, 2013). YhjX is similar to OxlT from Oxalobacter genes and may be an oxalate-formate antiporter; alternatively YhjX may be involved with pyruvate transport. YhjX may function with frc and oxc to catabolize oxalate. Major Facilitator Superfamily (MFS). The yhjX promoter region binds ArcA (Federowicz, 2014). A btsSR ypdAB quadruple mutant has a higher level of persistor cells than wildtype after ampicillin treatment of stationary phase, but not exponential phase, cells (Vilhena, 2017).; Putative MFS antiporter, pyruvate-inducible; inner membrane protein;  putative MFS antiporter, pyruvate-inducible; Uncharacterized MFS-type transporter YhjX; pyruvate-inducible inner membrane protein, putative transporter
b3548	yhjY	Autotransporter beta-domain protein, function unknown; autotransporter beta-domain protein; autotransporter beta-domain protein
b3573	ysaA	putative electron transport protein YsaA; Putative electron transport protein YsaA
b3586	yiaV	Function unknown; putative membrane fusion protein (MFP) component of efflux pump, signal anchor; signal-anchored membrane fusion protein (MFP) component of efflux pump ; signal-anchored membrane fusion protein (MFP) component of efflux pump
b3597	yibH	Function unknown; putative membrane fusion protein (MFP) component of efflux pump, signal anchor; putative membrane fusion protein (MFP) component of efflux pump; putative membrane fusion protein (MFP) component of efflux pump
b3657	yicJ	putative xyloside transporter YicJ; YicJ is a possible sugar transporter for the YicI substrates. yicJ is possibly in a operon with downstream yicI. Major Facilitator Superfamily (MFS).; Putative sugar transporter, function unknown; putative transporter; putative transporter
b3659	setC	putative arabinose exporter; SetC is a putative arabinose efflux transporter because a setC mutant has an increased intracellular concentration of arabinose but not xylose; in addition overexpression of SetC reduced the intracellular concentration of arabinose but not xylose; other sugars were not tested (Koita, 2012). SetC is predicted to be a sugar efflux transporter because it is a paralog of SetA and SetB. Major Facilitator Superfamily (MFS).; Putative arabinose efflux transporter; putative arabinose efflux transporter; Sugar efflux transporter C; putative arabinose efflux transporter
b3660	yicL	YicL has two EamA/RhaT transporter family domains (Pfam PF00892). YicL is an inner membrane protein with ten transmembrane helicies and the C-terminus in the cytoplasm (Daley, 2005).; EamA family inner membrane predicted transporter; function unknown; EamA family inner membrane putative transporter; Uncharacterized inner membrane transporter YicL; EamA family inner membrane putative transporter
b3679	yidK	putative transporter YidK; putative transporter
b3682	glvB	putative PTS enzyme II component GlvB
b3685	yidE	putative transport protein YidE; Putative AAE family transporter, function unknown; putative transporter; Putative transport protein YidE; putative transporter
b3691	dgoT	putative D-galactonate transporter; transporter; D-galactonate transporter; D-galactonate transporter; D-galactonate transporter; D-galactonate transporter
b3754	hsrA	putative transporter HsrA; Putative transporter, blocks RspA-mediated RpoS down-regulation; membrane protein; Probable transport protein HsrA (High-copy suppressor of rspA)
b3795	yifK	putative transporter YifK; Predicted APC family amino acid transporter; putative APC family amino acid transporter; FUNCTION: Probable amino-acid or metabolite transport protein.; Probable transport protein YifK; putative APC family amino acid transporter
b3819	rarD	putative transporter RarD; putative chloramphenical resistance permease; putative chloramphenical resistance permease
b3874	yihN	putative transporter YihN; Predicted transporter, inner membrane protein, function unknown; MFS transporter family protein; MFS transporter family protein
b3877	yihP	yihP(squP) is one of two predicted transporter genes in the yih(squ) divergent sulphoquinovose (SQ) catabolism operon; YihO(SquO) but not YihP(SquP) is predicted to be an SQ importer because a yihO(squO) mutant fails to grow on SQ as a sole carbon source but a yihP(squP) mutant can still grow on SQ, so YihP(SquP) was proposed to excrete the 2,3-dihydroxypropane-1-sulphonate endproduct of SQ catabolism (Denger, 2014). Alternatively, since the putative sulpholipid alpha-glucosidase YihQ(SquQ) is predicted to be a cytoplasmic enzyme, YihP(SquP) could be a sulpholipid importer. YihP(SquP) belongs to the Major Facilitator Superfamily (MFS).; Putative 2,3-dihydroxypropane-1-sulphonate exporter; membrane protein; putative 2,3-dihydroxypropane-1-sulphonate exporter, membrane protein; Putative 2,3-dihydroxypropane-1-sulfonate exporter; putative 2,3-dihydroxypropane-1-sulphonate exporter, membrane protein
b3886	yihY	yihY is no longer thought to be the structural gene for RNase BN. The structural gene for RNase BN has been identified: the elaC gene has been renamed as rbn. yihY and yhjD are distant paralogs; YhjD is a putative lipid exporter. YihY(Rbn) has been shown to be an inner membrane protein that has six predicted TM regions with its C-terminus in the cytoplasm (Daley, 2005). YihY and YhjD belong to the B. pertussis virulence factor BrkB family (PF03631), formerly known as the UPF0761 family, although they have not been shown to be virulence factors in E. coli (Fernandez, 1994).; BrkB family putative transporter, inner membrane protein; function unknown; BrkB family putative transporter, inner membrane protein; BrkB family putative transporter, inner membrane protein
b3899	frvB	putative PTS enzyme II FrvAB  (summary available):[FrvB][FrvA]; putative PTS enzyme IIBC component FrvB; putative PTS enzyme, IIB component/IIC component; Fructose-like PTS system EIIBC component [Includes: PTS system fructose-like EIIB component (EC 2.7.1.202) (Fructose-like phosphotransferase enzyme IIB component); PTS system fructose-like EIIC component (Fructose-like permease IIC component)]; putative PTS enzyme, IIB component/IIC component
b3900	frvA	putative PTS enzyme II FrvAB  (summary available):[FrvB][FrvA]; putative PTS enzyme IIA component FrvA
b3943	yijE	cystine exporter; transporter; YijE belongs to the EamA/RhaT transporter family, DMT superfamily.; EamA-like transporter family protein, function unknown; EamA-like transporter family protein; Probable cystine transporter YijE; EamA-like transporter family protein
b3947	frwA	putative PTS enzyme: Hpr, enzyme I and II components; putative PTS enzyme: Hpr, enzyme I and II components; putative PTS enzyme II FrwCBDPtsA  (summary available):[FrwC][FrwB][FrwD][PtsA]
b3949	frwC	putative PTS enzyme II FrwCBDPtsA  (summary available):[FrwC][FrwB][FrwD][PtsA]; putative PTS enzyme IIC component FrwC; Fructose-like permease IIC component 2 (PTS system fructose-like EIIC component 2)
b3950	frwB	putative PTS enzyme II FrwCBDPtsA  (summary available):[FrwC][FrwB][FrwD][PtsA]; putative PTS enzyme IIB component FrwB
b3953	frwD	putative PTS enzyme II FrwCBDPtsA  (summary available):[FrwC][FrwB][FrwD][PtsA]; putative PTS enzyme IIB component FrwD
b4020	yjbB	transporter; YjbB overexpression increases Pi export and reduces intracellular polyphosphate levels (Motomura, 2011). YjbB belongs to the Pfam PF02690 Na+/Pi-cotransporter family.; Probable Na+/Pi-cotransporter; putative Na+/Pi-cotransporter; putative Na+/Pi-cotransporter
b4044	dinF	SummaryDinF is a member of the Multi Antimicrobial Extrusion (MATE) Family of transporters [Brown99b, Saier16]; DinF is implicated in protection from reactive oxygen species (ROS) possibly via the export of oxidizing species [RodriguezBeltra12].Expression of dinF is DNA damage (UV or mitomycin C) inducible [Kenyon80]. dinF forms an operon with the SOS response regulator, lexA [Krueger83].DinF contains 12 predicted transmembrane domains [RodriguezBeltra12]; multicopy expression of dinF decreases intracellular ROS (reactive oxygen species) levels and protects cells from H2O2-induced killing; DinF is implicated in protection against bile salts; multicopy expression of dinF confers a slight resistance to bile salts [RodriguezBeltra12]. ; Oxidative stress resistance protein; predicted MATE family efflux pump; UV and mitomycin C inducible; oxidative stress resistance protein; putative MATE family efflux pump; UV and mitomycin C inducible protein; oxidative stress resistance protein; putative MATE family efflux pump; UV and mitomycin C inducible protein
b4065	yjcE	putative transporter YjcE; putative cation/proton antiporter; putative cation/proton antiporter
b4097	phnK	PhnK is not required for the ribophosphonate triphosphate synthase reaction (Kamat, 2011). PhnK is part of a phosphonate-utilization PhnGHIJK enzyme complex (Jochimsen, 2011). PhnK is related to ATP transporter ATP-binding subunits and may have a role in either phosphonate catbolism or transport. Phosphonate utilization is cryptic in K-12.; Putative phosphonate ABC transporter ATP-binding subunit; phosphonate catabolism; carbon-phosphorus lyase complex subunit, putative ATP transporter ATP-binding protein; carbon-phosphorus lyase complex subunit, putative ATP transporter ATP-binding protein
b4103	phnE	Putative cryptic phosphonate transport system permease protein PhnE2
b4156	yjeM	putative transporter YjeM; Putative transporter, function unknown; putative transporter; Inner membrane transporter YjeM; putative transporter
b4210	ytfF	Overexpression of ytfF partially reverses Ala-Ala sensitivity but alanine is probably not its physiologically relevant amino acid substrate(s) (Hori, 2011). YtfF belongs to the EamA/RhaT transporter family, DMT superfamily.; Probable amino acid exporter, DUF6 family; DMT transporter family inner membrane protein; DMT transporter family inner membrane protein
b4230	ytfT	galactofuranose ABC transporter  (summary available):[YjfF][YtfR][YtfT][YtfQ]; galactofuranose ABC transporter putative membrane subunit YtfT; Putative sugar ABC transporter permease; putative sugar ABC transporter permease; Inner membrane ABC transporter permease protein YtfT; putative sugar ABC transporter permease
b4231	yjfF	galactofuranose ABC transporter  (summary available):[YjfF][YtfR][YtfT][YtfQ]; galactofuranose ABC transporter putative membrane subunit YjtF; Putative sugar ABC transporter permease; possible galactofuranse substrate; putative sugar ABC transporter permease; Inner membrane ABC transporter permease protein YjfF; putative sugar ABC transporter permease
b4279	yjhB	putative sialic acid transporter; YjhB is a member of the Major Facilitator Superfamily (MFS) of transporters. YjhB is regulated by NanR and is 55% similar to the NanT sialic acid transporter and thus may be involved in the transport of sialic acid-related substrates (Kalivoda, 2013).; Putative MFS transporter, function unknown; membrane protein; N-acetylneuraminic acid inducible; putative MFS transporter, membrane protein; Putative metabolite transport protein YjhB; putative MFS transporter, membrane protein
b4296	yjhF	KpLE2 phage-like element; putative transporter YjhF; IT (Ion Transporter) superfamily (Prakash, 2003). ST(3) structural class based on hydropathy profile (Lolkema, 2003).; Predicted GntP family transporter, function unknown; putative transporter; Uncharacterized permease YjhF; putative transporter
b4302	sgcA	putative PTS enzyme II SgcBCA  (extended summary available):[SgcB][SgcC][SgcA]; putative PTS enzyme IIA component SgcA
b4304	sgcC	putative PTS enzyme II SgcBCA  (extended summary available):[SgcB][SgcC][SgcA]; putative PTS enzyme IIC component SgcC; Predicted PTS system EIIC permease component; putative PTS system EIIC permease component; Putative permease IIC component (Putative PTS system EIIC component); putative PTS system EIIC permease component
